,I [W/m2],m_dot [kg/sec],Cp,Ta [C],Tin [C],Tplate [C] ,Ttank  [C] ,Pin [Kpa],Pout  [Kpa],TIME,l_out_cumsum
1,450,0.0,4180,35.26,37.6,77.9,37.5,108.1,103.3,2024-11-27 11:00:00,0.0
2,450,0.0,4180,35.2,37.6,78.1,37.7,108.2,103.3,2024-11-27 11:10:00,0.0
3,450,0.0,4180,35.4,37.7,77.8,37.7,108.1,103.1,2024-11-27 11:20:00,0.0
4,450,0.0,4180,35.4,37.7,77.6,37.8,108.1,103.3,2024-11-27 11:30:00,0.0
5,450,0.0,4180,36.1,37.8,78.2,38.2,108.1,103.3,2024-11-27 11:40:00,0.0
6,450,0.0,4180,35.9,37.8,77.2,39.1,108.2,103.3,2024-11-27 11:50:00,0.0
7,450,0.0,4180,36.9,37.9,77.6,40.1,108.1,103.4,2024-11-27 12:00:00,0.0
8,450,0.0,4180,36.2,38.0,77.5,40.9,108.3,103.3,2024-11-27 12:10:00,0.0
9,450,0.0,4180,36.4,38.2,78.2,43.2,108.1,103.2,2024-11-27 12:20:00,0.0
10,450,0.0,4180,36.5,38.5,79.5,44.1,108.1,103.3,2024-11-27 12:30:00,0.0
11,450,0.0,4180,36.4,38.4,80.1,45.5,108.4,103.5,2024-11-27 12:40:00,0.0
12,450,0.0,4180,36.6,38.7,81.5,46.08,108.2,103.4,2024-11-27 12:50:00,0.0
13,450,0.00033,4180,36.8,38.8,84.2,47.7,108.5,103.4,2024-11-27 13:00:00,0.198
14,450,0.00033,4180,36.6,39.1,83.2,48.9,108.4,103.4,2024-11-27 13:10:00,0.396
15,450,0.00033,4180,36.6,39.5,83.1,49.8,108.4,103.4,2024-11-27 13:20:00,0.5940000000000001
16,450,0.00033,4180,36.6,40.0,82.9,51.0,108.4,103.4,2024-11-27 13:30:00,0.792
17,450,0.00033,4180,37.0,40.5,83.1,52.0,108.5,103.4,2024-11-27 13:40:00,0.99
18,450,0.00042,4180,36.9,40.9,83.1,52.7,108.6,103.4,2024-11-27 13:50:00,1.242
19,450,0.00042,4180,37.6,41.4,84.7,53.6,108.5,103.4,2024-11-27 14:00:00,1.494
20,450,0.00042,4180,37.2,42.3,83.7,54.6,108.4,103.4,2024-11-27 14:10:00,1.746
21,450,0.00042,4180,37.7,43.7,83.6,55.2,108.5,103.3,2024-11-27 14:20:00,1.998
22,450,0.00042,4180,37.5,43.5,84.4,56.1,108.5,103.3,2024-11-27 14:30:00,2.25
23,450,0.00033,4180,38.1,44.5,83.6,57.9,108.6,103.3,2024-11-27 14:40:00,2.448
24,450,0.00033,4180,37.8,45.1,84.0,58.1,108.6,103.3,2024-11-27 14:50:00,2.646
25,450,0.00033,4180,38.2,45.7,85.1,58.5,108.6,103.3,2024-11-27 15:00:00,2.844
26,450,0.00033,4180,38.2,46.7,84.7,59.2,108.5,103.3,2024-11-27 15:10:00,3.042
27,450,0.00033,4180,38.2,47.4,85.4,60.2,108.4,103.3,2024-11-27 15:20:00,3.2399999999999998
28,450,0.00038,4180,38.2,48.1,86.1,60.8,108.6,103.3,2024-11-27 15:30:00,3.468
29,450,0.00038,4180,38.2,48.9,86.8,61.0,108.6,103.3,2024-11-27 15:40:00,3.696
30,450,0.00038,4180,37.4,49.6,87.9,61.6,108.5,103.4,2024-11-27 15:50:00,3.9240000000000004
31,450,0.00038,4180,37.4,50.4,88.4,62.1,108.5,103.4,2024-11-27 16:00:00,4.152
32,450,0.000416,4180,37.8,51.0,88.4,63.0,108.5,103.4,2024-11-27 16:10:00,4.4016
33,450,0.000416,4180,38.1,51.7,88.5,63.5,108.5,103.3,2024-11-27 16:20:00,4.6512
34,450,0.000416,4180,38.4,52.3,89.8,64.4,108.5,103.3,2024-11-27 16:30:00,4.9008
35,450,0.000418,4180,38.9,53.1,90.1,64.6,108.5,103.3,2024-11-27 16:40:00,5.1516
36,450,0.000418,4180,38.7,53.8,91.0,65.6,108.6,103.3,2024-11-27 16:50:00,5.4024
37,450,0.000418,4180,38.7,54.4,91.0,65.6,108.6,103.3,2024-11-27 17:00:00,5.6532
